Date,Close
1/03/2017 16:00,31.26
1/04/2017 16:00,31.54
1/05/2017 16:00,31.84
1/06/2017 16:00,31.72
1/09/2017 16:00,31.71
1/10/2017 16:00,31.68
1/11/2017 16:00,31.1
1/12/2017 16:00,30.88
1/13/2017 16:00:00,30.81
1/17/2017 16:00:00,30.37
1/18/2017 16:00:00,30.34
1/19/2017 16:00:00,30.03
1/20/2017 16:00:00,30.1
1/23/2017 16:00:00,29.8
1/24/2017 16:00:00,29.51
1/25/2017 16:00:00,29.64
1/26/2017 16:00:00,29.63
1/27/2017 16:00:00,29.77
1/30/2017 16:00:00,29.66
1/31/2017 16:00:00,30.06
2/01/2017 16:00,30
2/02/2017 16:00,30.06
2/03/2017 16:00,30.4
2/06/2017 16:00,30.53
2/07/2017 16:00,30.39
2/08/2017 16:00,30.45
2/09/2017 16:00,30.67
2/10/2017 16:00,30.65
2/13/2017 16:00:00,30.89
2/14/2017 16:00:00,31.03
2/15/2017 16:00:00,31.75
2/16/2017 16:00:00,31.85
2/17/2017 16:00:00,31.85
2/21/2017 16:00:00,31.85
2/22/2017 16:00:00,31.82
2/23/2017 16:00:00,32.27
2/24/2017 16:00:00,32.46
2/27/2017 16:00:00,32.47
2/28/2017 16:00:00,32.32
3/01/2017 16:00,32.61
3/02/2017 16:00,32.69
3/03/2017 16:00,32.7
3/06/2017 16:00,32.54
3/07/2017 16:00,32.2
3/08/2017 16:00,32.12
3/09/2017 16:00,32.26
3/10/2017 16:00,32.31
3/13/2017 16:00:00,32.31
3/14/2017 16:00:00,32.42
3/15/2017 16:00:00,32.81
3/16/2017 16:00:00,32.62
3/17/2017 16:00:00,32.51
3/20/2017 16:00:00,32.57
3/21/2017 16:00:00,32.45
3/22/2017 16:00:00,32.65
3/23/2017 16:00:00,32.48
3/24/2017 16:00:00,32.21
3/27/2017 16:00:00,32.38
3/28/2017 16:00:00,32.36
3/29/2017 16:00:00,32.52
3/30/2017 16:00:00,32.54
3/31/2017 16:00:00,32.41
4/03/2017 16:00,32.44
4/04/2017 16:00,32.53
4/05/2017 16:00,32.39
4/06/2017 16:00,32.31
4/07/2017 16:00,32.3
4/10/2017 16:00,32.25
4/11/2017 16:00,32.14
4/12/2017 16:00,32.13
4/13/2017 16:00:00,32.1
4/17/2017 16:00:00,32.21
4/18/2017 16:00:00,32.06
4/19/2017 16:00:00,31.84
4/20/2017 16:00:00,31.96
4/21/2017 16:00:00,31.87
4/24/2017 16:00:00,31.96
4/25/2017 16:00:00,31.98
4/26/2017 16:00:00,32.07
4/27/2017 16:00:00,32.08
4/28/2017 16:00:00,32.13
5/01/2017 16:00,32
5/02/2017 16:00,31.84
5/03/2017 16:00,31.71
5/04/2017 16:00,31.69
5/05/2017 16:00,31.72
5/08/2017 16:00,31.69
5/09/2017 16:00,31.62
5/10/2017 16:00,31.29
5/11/2017 16:00,31.3
5/12/2017 16:00,31.27
5/15/2017 16:00:00,31.38
5/16/2017 16:00:00,30.88
5/17/2017 16:00:00,30.53
5/18/2017 16:00:00,30.52
5/19/2017 16:00:00,30.75
5/22/2017 16:00:00,30.43
5/23/2017 16:00:00,30.45
5/24/2017 16:00:00,30.36
5/25/2017 16:00:00,30.47
5/26/2017 16:00:00,30.45
5/30/2017 16:00:00,30.44
5/31/2017 16:00:00,30.93
6/01/2017 16:00,30.99
6/02/2017 16:00,30.83
6/05/2017 16:00,30.65
6/06/2017 16:00,30.38
6/07/2017 16:00,30.31
6/08/2017 16:00,30.08
6/09/2017 16:00,31.04
6/12/2017 16:00,30.98
6/13/2017 16:00:00,30.86
6/14/2017 16:00:00,30.97
6/15/2017 16:00:00,31.08
6/16/2017 16:00:00,31.23
6/19/2017 16:00:00,31.47
6/20/2017 16:00:00,31.79
6/21/2017 16:00:00,32.1
6/22/2017 16:00:00,32.27
6/23/2017 16:00:00,32.37
6/26/2017 16:00:00,32.25
6/27/2017 16:00:00,31.99
6/28/2017 16:00:00,31.97
6/29/2017 16:00:00,31.86
6/30/2017 16:00:00,31.82
7/03/2017 16:00,32.04
7/05/2017 16:00,31.87
7/06/2017 16:00,31.47
7/07/2017 16:00,31.59
7/10/2017 16:00,31.65
7/11/2017 16:00,31.42
7/12/2017 16:00,31.47
7/13/2017 16:00:00,31.53
7/14/2017 16:00:00,31.67
7/17/2017 16:00:00,31.5
7/18/2017 16:00:00,31.6
7/19/2017 16:00:00,31.85
7/20/2017 16:00:00,31.77
7/21/2017 16:00:00,31.72
7/24/2017 16:00:00,31.57
7/25/2017 16:00:00,31.36
7/26/2017 16:00:00,31.16
7/27/2017 16:00:00,31.26
7/28/2017 16:00:00,31.4
7/31/2017 16:00:00,31.41
8/01/2017 16:00,31.34
8/02/2017 16:00,31.19
8/03/2017 16:00,31.67
8/04/2017 16:00,31.87
8/07/2017 16:00,31.56
8/08/2017 16:00,31.53
8/09/2017 16:00,31.69
8/10/2017 16:00,31.66
8/11/2017 16:00,31.5
8/14/2017 16:00:00,31.56
8/15/2017 16:00:00,31.62
8/16/2017 16:00:00,31.6
8/17/2017 16:00:00,31.21
8/18/2017 16:00:00,30.95
8/21/2017 16:00:00,31.03
8/22/2017 16:00:00,31.4
8/23/2017 16:00:00,31.49
8/24/2017 16:00:00,31.48
8/25/2017 16:00:00,31.63
8/28/2017 16:00:00,31.71
8/29/2017 16:00:00,31.74
8/30/2017 16:00:00,31.69
8/31/2017 16:00:00,32.13
9/01/2017 16:00,32.17
9/05/2017 16:00,32.02
9/06/2017 16:00,32.2
9/07/2017 16:00,32.2
9/08/2017 16:00,32.3
9/11/2017 16:00,32.51
9/12/2017 16:00,33.51
9/13/2017 16:00:00,33.21
9/14/2017 16:00:00,33.85
9/15/2017 16:00:00,33.5
9/18/2017 16:00:00,33.68
9/19/2017 16:00:00,33.58
9/20/2017 16:00:00,34.09
9/21/2017 16:00:00,34.08
9/22/2017 16:00:00,34.07
9/25/2017 16:00:00,33.64
9/26/2017 16:00:00,33.44
9/27/2017 16:00:00,33.58
9/28/2017 16:00:00,33.73
9/29/2017 16:00:00,33.82
10/02/2017 16:00,34.17
10/03/2017 16:00,34.24
10/04/2017 16:00,34.07
10/05/2017 16:00,34.1
10/06/2017 16:00,34.15
10/09/2017 16:00,34.24
10/10/2017 16:00,34.48
10/11/2017 16:00,34.53
10/12/2017 16:00,34.44
10/13/2017 16:00:00,34.43
10/16/2017 16:00:00,34.09
10/17/2017 16:00:00,34.29
10/18/2017 16:00:00,33.94
10/19/2017 16:00:00,34.33
10/20/2017 16:00:00,34.5
10/23/2017 16:00:00,34.48
10/24/2017 16:00:00,34.36
10/25/2017 16:00:00,34.26
10/26/2017 16:00:00,33.86
10/27/2017 16:00:00,33.73
10/30/2017 16:00:00,33.3
10/31/2017 16:00:00,33.21
11/01/2017 16:00,33.4
11/02/2017 16:00,33.59
11/03/2017 16:00,33.68
11/06/2017 16:00,33.46
11/07/2017 16:00,33.5
11/08/2017 16:00,33.48
11/09/2017 16:00,33.35
11/10/2017 16:00,33.33
11/13/2017 16:00:00,33.44
11/14/2017 16:00:00,33.52
11/15/2017 16:00:00,33.5
11/16/2017 16:00:00,33.69
11/17/2017 16:00:00,33.51
11/20/2017 16:00:00,33.49
11/21/2017 16:00:00,33.67
11/22/2017 16:00:00,33.56
11/24/2017 13:00:00,33.62
11/27/2017 16:00:00,33.62
11/28/2017 16:00:00,33.96
11/29/2017 16:00:00,34.3
11/30/2017 16:00:00,34.35
12/01/2017 16:00,34.44
12/04/2017 16:00,34.16
12/05/2017 16:00,33.75
12/06/2017 16:00,33.69
12/07/2017 16:00,33.63
12/08/2017 16:00,33.86
12/11/2017 16:00,34.3
12/12/2017 16:00,34.65
12/13/2017 16:00:00,34.71
12/14/2017 16:00:00,34.54
12/15/2017 16:00:00,35.24
12/18/2017 16:00:00,35.17
12/19/2017 16:00:00,34.99
12/20/2017 16:00:00,34.54
12/21/2017 16:00:00,34.33
12/22/2017 16:00:00,34.24
12/26/2017 16:00:00,34.3
