Date,Close
12/21/2018 16:00:00,42.17
12/26/2018 16:00:00,44.91
12/27/2018 16:00:00,44.6
12/28/2018 16:00:00,45.43
12/31/2018 16:00:00,48.87
1/02/2019 16:00,47.12
1/03/2019 16:00,45.13
1/04/2019 16:00,46.02
1/07/2019 16:00,46.32
1/08/2019 16:00,46.87
1/09/2019 16:00,46.94
1/10/2019 16:00,45.19
1/11/2019 16:00,44.47
1/14/2019 16:00:00,42.8
1/15/2019 16:00:00,43.01
1/16/2019 16:00:00,42.62
1/17/2019 16:00:00,43.71
1/18/2019 16:00:00,43.35
1/22/2019 16:00:00,44.06
1/23/2019 16:00:00,44.62
1/24/2019 16:00:00,44.96
1/25/2019 16:00:00,45.91
1/28/2019 16:00:00,46.9
1/29/2019 16:00:00,46.85
1/30/2019 16:00:00,48
1/31/2019 16:00:00,48.59
2/01/2019 16:00,49.65
2/04/2019 16:00,50.83
2/05/2019 16:00,51.07
2/06/2019 16:00,50.94
2/07/2019 16:00,50.44
2/08/2019 16:00,51.49
2/11/2019 16:00,52.02
2/12/2019 16:00,53.6
2/13/2019 16:00:00,53.95
2/14/2019 16:00:00,54.38
2/15/2019 16:00:00,55
2/19/2019 16:00:00,55.04
2/20/2019 16:00:00,55.54
2/21/2019 16:00:00,55.54
2/22/2019 16:00:00,56.18
2/25/2019 16:00:00,56.64
2/26/2019 16:00:00,56.73
2/27/2019 16:00:00,56.25
2/28/2019 16:00:00,55.82
3/01/2019 16:00,56.65
3/04/2019 16:00,55.34
3/05/2019 16:00,55.12
3/06/2019 16:00,53.73
3/07/2019 16:00,53.13
3/08/2019 16:00,52.35
3/11/2019 16:00,54.15
3/12/2019 16:00,54.7
3/13/2019 16:00:00,54.95
3/14/2019 16:00:00,57.18
3/15/2019 16:00:00,60.23
3/18/2019 16:00:00,60.49
3/19/2019 16:00:00,60.44
3/20/2019 16:00:00,59.63
3/21/2019 16:00:00,60.71
3/22/2019 16:00:00,59.55
3/25/2019 16:00:00,57.29
3/26/2019 16:00:00,58.89
3/27/2019 16:00:00,57.54
3/28/2019 16:00:00,56.92
3/29/2019 16:00:00,58.69
4/01/2019 16:00,60.43
4/02/2019 16:00,61.27
4/03/2019 16:00,61.59
4/04/2019 16:00,60.34
4/05/2019 16:00,62.2
4/08/2019 16:00,62.49
4/09/2019 16:00,61.73
4/10/2019 16:00,63.29
4/11/2019 16:00,63.86
4/12/2019 16:00,63.51
4/15/2019 16:00:00,63.88
