Date,Close
1/03/2017 16:00,167.19
1/04/2017 16:00,169.26
1/05/2017 16:00,168.7
1/06/2017 16:00,169.53
1/09/2017 16:00,167.65
1/10/2017 16:00,165.52
1/11/2017 16:00,167.75
1/12/2017 16:00,167.95
1/13/2017 16:00:00,167.34
1/17/2017 16:00:00,167.89
1/18/2017 16:00:00,166.8
1/19/2017 16:00:00,166.81
1/20/2017 16:00:00,170.55
1/23/2017 16:00:00,171.03
1/24/2017 16:00:00,175.9
1/25/2017 16:00:00,178.29
1/26/2017 16:00:00,178.66
1/27/2017 16:00:00,177.3
1/30/2017 16:00:00,175.8
1/31/2017 16:00:00,174.52
2/01/2017 16:00,174.29
2/02/2017 16:00,174.58
2/03/2017 16:00,175.82
2/06/2017 16:00,175.86
2/07/2017 16:00,178.46
2/08/2017 16:00,176.17
2/09/2017 16:00,177.21
2/10/2017 16:00,178.68
2/13/2017 16:00:00,179.36
2/14/2017 16:00:00,180.13
2/15/2017 16:00:00,181.68
2/16/2017 16:00:00,181.43
2/17/2017 16:00:00,180.67
2/21/2017 16:00:00,180.26
2/22/2017 16:00:00,181.15
2/23/2017 16:00:00,181.65
2/24/2017 16:00:00,181.35
2/27/2017 16:00:00,179.4
2/28/2017 16:00:00,179.82
3/01/2017 16:00,181.95
3/02/2017 16:00,180.53
3/03/2017 16:00,180.05
3/06/2017 16:00,180.47
3/07/2017 16:00,180.38
3/08/2017 16:00,179.45
3/09/2017 16:00,177.18
3/10/2017 16:00,177.83
3/13/2017 16:00:00,176.46
3/14/2017 16:00:00,175.72
3/15/2017 16:00:00,175.81
3/16/2017 16:00:00,177.24
3/17/2017 16:00:00,175.65
3/20/2017 16:00:00,175.7
3/21/2017 16:00:00,173.88
3/22/2017 16:00:00,174.78
3/23/2017 16:00:00,174.82
3/24/2017 16:00:00,173.83
3/27/2017 16:00:00,173.77
3/28/2017 16:00:00,174.51
3/29/2017 16:00:00,173.94
3/30/2017 16:00:00,173.86
3/31/2017 16:00:00,174.14
4/03/2017 16:00,174.5
4/04/2017 16:00,174.52
4/05/2017 16:00,172.88
4/06/2017 16:00,172.45
4/07/2017 16:00,172.14
4/10/2017 16:00,171.2
4/11/2017 16:00,170.58
4/12/2017 16:00,170.66
4/13/2017 16:00:00,169.53
4/17/2017 16:00:00,171.1
4/18/2017 16:00:00,170.05
4/19/2017 16:00:00,161.69
4/20/2017 16:00:00,162.3
4/21/2017 16:00:00,160.38
4/24/2017 16:00:00,160.75
4/25/2017 16:00:00,160.39
4/26/2017 16:00:00,160.06
4/27/2017 16:00:00,160.32
4/28/2017 16:00:00,160.29
5/01/2017 16:00,158.84
5/02/2017 16:00,159.1
5/03/2017 16:00,158.63
5/04/2017 16:00,159.05
5/05/2017 16:00,155.05
5/08/2017 16:00,153.03
5/09/2017 16:00,152.11
5/10/2017 16:00,151.25
5/11/2017 16:00,150.65
5/12/2017 16:00,150.37
5/15/2017 16:00:00,151.51
5/16/2017 16:00:00,153.68
5/17/2017 16:00:00,150.93
5/18/2017 16:00:00,150.78
5/19/2017 16:00:00,151.98
5/22/2017 16:00:00,152.64
5/23/2017 16:00:00,152.03
5/24/2017 16:00:00,152.51
5/25/2017 16:00:00,153.2
5/26/2017 16:00:00,152.49
5/30/2017 16:00:00,151.73
5/31/2017 16:00:00,152.63
6/01/2017 16:00,152.67
6/02/2017 16:00,152.05
6/05/2017 16:00,152.41
6/06/2017 16:00,152.37
6/07/2017 16:00,150.98
6/08/2017 16:00,152.1
6/09/2017 16:00,154.1
6/12/2017 16:00,155.18
6/13/2017 16:00:00,154.25
6/14/2017 16:00:00,153.81
6/15/2017 16:00:00,154.22
6/16/2017 16:00:00,155.38
6/19/2017 16:00:00,154.84
6/20/2017 16:00:00,154.95
6/21/2017 16:00:00,153.79
6/22/2017 16:00:00,154.4
6/23/2017 16:00:00,154.11
6/26/2017 16:00:00,155.23
6/27/2017 16:00:00,154.75
6/28/2017 16:00:00,155.32
6/29/2017 16:00:00,154.13
6/30/2017 16:00:00,153.83
7/03/2017 16:00,155.58
7/05/2017 16:00,153.67
7/06/2017 16:00,152.36
7/07/2017 16:00,152.94
7/10/2017 16:00,153.42
7/11/2017 16:00,153.19
7/12/2017 16:00,153.7
7/13/2017 16:00:00,153.63
7/14/2017 16:00:00,154.24
7/17/2017 16:00:00,153.01
7/18/2017 16:00:00,154
7/19/2017 16:00:00,147.53
7/20/2017 16:00:00,147.66
7/21/2017 16:00:00,147.08
7/24/2017 16:00:00,145.99
7/25/2017 16:00:00,146.19
7/26/2017 16:00:00,145.36
7/27/2017 16:00:00,145.07
7/28/2017 16:00:00,144.29
7/31/2017 16:00:00,144.67
8/01/2017 16:00,145.3
8/02/2017 16:00,144.45
8/03/2017 16:00,144.94
8/04/2017 16:00,145.16
8/07/2017 16:00,143.47
8/08/2017 16:00,142.11
8/09/2017 16:00,141.77
8/10/2017 16:00,141.84
8/11/2017 16:00,141.84
8/14/2017 16:00:00,142.32
8/15/2017 16:00:00,142.07
8/16/2017 16:00:00,142.5
8/17/2017 16:00:00,140.7
8/18/2017 16:00:00,139.7
8/21/2017 16:00:00,140.33
8/22/2017 16:00:00,141.01
8/23/2017 16:00:00,142.14
8/24/2017 16:00:00,142.94
8/25/2017 16:00:00,143.74
8/28/2017 16:00:00,142.51
8/29/2017 16:00:00,143.14
8/30/2017 16:00:00,142.56
8/31/2017 16:00:00,143.03
9/01/2017 16:00,144.08
9/05/2017 16:00,143.04
9/06/2017 16:00,143.82
9/07/2017 16:00,142.9
9/08/2017 16:00,142.45
9/11/2017 16:00,144.86
9/12/2017 16:00,145.76
9/13/2017 16:00:00,145.99
9/14/2017 16:00:00,145.54
9/15/2017 16:00:00,144.82
9/18/2017 16:00:00,144.55
9/19/2017 16:00:00,144.39
9/20/2017 16:00:00,145.88
9/21/2017 16:00:00,145.26
9/22/2017 16:00:00,145.13
9/25/2017 16:00:00,145.87
9/26/2017 16:00:00,146.56
9/27/2017 16:00:00,145.66
